"collection_name","article_id","title","doi","tags","thumbnail_file"
"Groundwater","7688147","Horizontal well - driven spring","https://doi.org/10.17028/rd.lboro.7688147.v1","Technical illustration and graphics","7688147_thumbnail.jpg"
"Groundwater","7687832","Methods for driving well points","https://doi.org/10.17028/rd.lboro.7687832.v1","Technical illustration and graphics","7687832_thumbnail.jpg"
"Groundwater","7687835","Cost of shallow hand dug wells and hand augered boreholes","https://doi.org/10.17028/rd.lboro.7687835.v1","Technical illustration and graphics","7687835_thumbnail.jpg"
"Groundwater","7687838","Cost of shallow hand dug wells and hand augered boreholes","https://doi.org/10.17028/rd.lboro.7687838.v1","Technical illustration and graphics","7687838_thumbnail.jpg"
"Groundwater","7687829","Methods for driving well points","https://doi.org/10.17028/rd.lboro.7687829.v1","Technical illustration and graphics","7687829_thumbnail.jpg"
"Groundwater","7687619","Buried well","https://doi.org/10.17028/rd.lboro.7687619.v1","Technical illustration and graphics","7687619_thumbnail.jpg"
"Groundwater","7687622","Buried well","https://doi.org/10.17028/rd.lboro.7687622.v1","Technical illustration and graphics","7687622_thumbnail.jpg"
"Groundwater","7687613","Backfilled well","https://doi.org/10.17028/rd.lboro.7687613.v1","Technical illustration and graphics","7687613_thumbnail.jpg"
"Groundwater","7687616","Backfilled well","https://doi.org/10.17028/rd.lboro.7687616.v1","Technical illustration and graphics","7687616_thumbnail.jpg"
"Groundwater","7687577","Lining a well as excavation proceeds using caissons","https://doi.org/10.17028/rd.lboro.7687577.v1","Technical illustration and graphics","7687577_thumbnail.jpg"
"Groundwater","7687580","Well excavation supported by the Modified Chicago Method","https://doi.org/10.17028/rd.lboro.7687580.v1","Technical illustration and graphics","7687580_thumbnail.jpg"
"Groundwater","7687583","Well excavation supported by the Modified Chicago Method","https://doi.org/10.17028/rd.lboro.7687583.v1","Technical illustration and graphics","7687583_thumbnail.jpg"
"Groundwater","7687574","Lining a well as excavation proceeds using caissons","https://doi.org/10.17028/rd.lboro.7687574.v1","Technical illustration and graphics","7687574_thumbnail.jpg"
"Groundwater","7687559","Lining short sections of a well as excavation proceeds","https://doi.org/10.17028/rd.lboro.7687559.v1","Technical illustration and graphics","7687559_thumbnail.jpg"
"Groundwater","7687562","Lining a well in deep sections as excavation proceeds","https://doi.org/10.17028/rd.lboro.7687562.v1","Technical illustration and graphics","7687562_thumbnail.jpg"
"Groundwater","7687565","Lining a well in deep sections as excavation proceeds","https://doi.org/10.17028/rd.lboro.7687565.v1","Technical illustration and graphics","7687565_thumbnail.jpg"
"Groundwater","7687556","Lining short sections of a well as excavation proceeds","https://doi.org/10.17028/rd.lboro.7687556.v1","Technical illustration and graphics","7687556_thumbnail.jpg"
"Groundwater","7687538","Handpump being used for de-watering a well excavation","https://doi.org/10.17028/rd.lboro.7687538.v1","Technical illustration and graphics","7687538_thumbnail.jpg"
"Groundwater","7687523","Cross section of an upgraded well with a handpump","https://doi.org/10.17028/rd.lboro.7687523.v1","Technical illustration and graphics","7687523_thumbnail.jpg"
"Groundwater","7687526","Cross section of an upgraded well with a handpump","https://doi.org/10.17028/rd.lboro.7687526.v1","Technical illustration and graphics","7687526_thumbnail.jpg"
"Groundwater","7687529","Good features for open wells","https://doi.org/10.17028/rd.lboro.7687529.v1","Technical illustration and graphics","7687529_thumbnail.jpg"
"Groundwater","7687532","Good features for open wells","https://doi.org/10.17028/rd.lboro.7687532.v1","Technical illustration and graphics","7687532_thumbnail.jpg"
"Groundwater","7687475","Part section of upgraded well with windlass","https://doi.org/10.17028/rd.lboro.7687475.v1","Technical illustration and graphics","7687475_thumbnail.jpg"
"Groundwater","7687478","Part section of upgraded well with windlass","https://doi.org/10.17028/rd.lboro.7687478.v1","Technical illustration and graphics","7687478_thumbnail.jpg"
"Groundwater","7680599","Protected well with double bucket system","https://doi.org/10.17028/rd.lboro.7680599.v1","Technical illustration and graphics","7680599_thumbnail.jpg"
"Groundwater","7680590","Protected well with double bucket system","https://doi.org/10.17028/rd.lboro.7680590.v1","Technical illustration and graphics","7680590_thumbnail.jpg"
"Groundwater","7680512","Cross section of a gravity well","https://doi.org/10.17028/rd.lboro.7680512.v1","Technical illustration and graphics","7680512_thumbnail.jpg"
"Groundwater","7680515","The siphon well","https://doi.org/10.17028/rd.lboro.7680515.v1","Technical illustration and graphics","7680515_thumbnail.jpg"
"Groundwater","7680521","The siphon well","https://doi.org/10.17028/rd.lboro.7680521.v1","Technical illustration and graphics","7680521_thumbnail.jpg"
