"collection_name","title","year","doi"
"Writing for reports","Writing for reports - This sentence",2019,"https://doi.org/10.17028/rd.lboro.8058335.v1"
"Writing for reports","Writing for reports - Pyramid",2019,"https://doi.org/10.17028/rd.lboro.8058329.v1"
"Writing for reports","Writing for reports - Figure 8",2019,"https://doi.org/10.17028/rd.lboro.8058323.v1"
"Writing for reports","Writing for reports - These paragraphs",2019,"https://doi.org/10.17028/rd.lboro.8058332.v1"
"Writing for reports","Writing for reports - Figure 4",2019,"https://doi.org/10.17028/rd.lboro.8058311.v1"
"Writing for reports","Writing for reports - Figure 5",2019,"https://doi.org/10.17028/rd.lboro.8058314.v1"
"Writing for reports","Writing for reports - Figure 6",2019,"https://doi.org/10.17028/rd.lboro.8058317.v1"
"Writing for reports","Writing for reports - Figure 7",2019,"https://doi.org/10.17028/rd.lboro.8058320.v1"
"Writing for reports","Writing for reports - Figure 3 - Publications vary in depth",2019,"https://doi.org/10.17028/rd.lboro.8058299.v1"
"Writing for reports","Study pushes frontiers",2019,"https://doi.org/10.17028/rd.lboro.8058218.v1"
"Writing for reports","Writing for reports - Figure 3",2019,"https://doi.org/10.17028/rd.lboro.8058305.v1"
"Writing for reports","Writing for reports - Figure 1",2019,"https://doi.org/10.17028/rd.lboro.8058287.v1"
"Writing for reports","Writing for reports - Figure 2",2019,"https://doi.org/10.17028/rd.lboro.8058293.v1"
"Water utilities management","Willingness to pay 02",2019,"https://doi.org/10.17028/rd.lboro.8058947.v1"
"Water utilities management","Willingness to pay 03",2019,"https://doi.org/10.17028/rd.lboro.8058950.v1"
"Water utilities management","Willingness to pay 01",2019,"https://doi.org/10.17028/rd.lboro.8058944.v1"
"Water utilities management","The nomenclature used for debiting and crediting various accounts",2019,"https://doi.org/10.17028/rd.lboro.8059400.v1"
"Water utilities management","Utility financial management cycle",2019,"https://doi.org/10.17028/rd.lboro.8059406.v1"
"Water utilities management","Trend of profitability ratios",2019,"https://doi.org/10.17028/rd.lboro.8059403.v1"
"Water utilities management","Utility functions and the external environment",2019,"https://doi.org/10.17028/rd.lboro.8059415.v1"
"Water utilities management","Common approaches for depreciating assets",2019,"https://doi.org/10.17028/rd.lboro.8059382.v1"
"Water utilities management","Credit worthiness ratios for XYZ",2019,"https://doi.org/10.17028/rd.lboro.8059385.v1"
"Water utilities management","Liquidity ratios for XYZ",2019,"https://doi.org/10.17028/rd.lboro.8059394.v1"
"Water utilities management","Efficiency ratios for XYZ",2019,"https://doi.org/10.17028/rd.lboro.8059388.v1"
"Water utilities management","Accounting equation 3",2019,"https://doi.org/10.17028/rd.lboro.8059367.v1"
"Water utilities management","Basic categories of accounting information",2019,"https://doi.org/10.17028/rd.lboro.8059376.v1"
"Water utilities management","Accounts format",2019,"https://doi.org/10.17028/rd.lboro.8059373.v1"
"Water utilities management","Accounting equation 4",2019,"https://doi.org/10.17028/rd.lboro.8059370.v1"
"Water utilities management","Accounting equation 1",2019,"https://doi.org/10.17028/rd.lboro.8059361.v1"
"Water utilities management","Accounting equation 2",2019,"https://doi.org/10.17028/rd.lboro.8059364.v1"
"Water utilities management","Ownership of facility and willingness to pay",2019,"https://doi.org/10.17028/rd.lboro.7982633.v1"
"Water resources","Flowchart for water source selection in cold regions",2019,"https://doi.org/10.17028/rd.lboro.7837829.v1"
"Water resources","Flowchart for water source selection in mountainous areas",2019,"https://doi.org/10.17028/rd.lboro.7837832.v1"
"Water resources","Flowchart for assessing the suitability of water sources form survival supply in cold regions",2019,"https://doi.org/10.17028/rd.lboro.7837835.v1"
"Water resources","Water source selection",2019,"https://doi.org/10.17028/rd.lboro.7873595.v1"
"Water resources","Decision chart for choosing a water source 2",2019,"https://doi.org/10.17028/rd.lboro.8059466.v1"
"Water resources","Decision chart for choosing a water source 1",2019,"https://doi.org/10.17028/rd.lboro.8059457.v1"
"Water resources","Defining floods and droughts",2019,"https://doi.org/10.17028/rd.lboro.8059520.v1"
"Water resources","River flow",2019,"https://doi.org/10.17028/rd.lboro.8059526.v1"
"Water resources","A trend line for rainfall",2019,"https://doi.org/10.17028/rd.lboro.8059514.v1"
"Water resources","Defining a flood",2019,"https://doi.org/10.17028/rd.lboro.8059517.v1"
"Water resources","Water processes",2019,"https://doi.org/10.17028/rd.lboro.8059505.v1"
"Water resources","A hydrograph",2019,"https://doi.org/10.17028/rd.lboro.8059511.v1"
"Water resources","Two catastrophic events of rainfall",2019,"https://doi.org/10.17028/rd.lboro.8059496.v1"
"Water resources","Water balance",2019,"https://doi.org/10.17028/rd.lboro.8059499.v1"
"Water resources","Water may change form but cannot be created or destroyed",2019,"https://doi.org/10.17028/rd.lboro.8059502.v1"
"Water resources","A catchment",2019,"https://doi.org/10.17028/rd.lboro.8059508.v1"
"Water resources","The water cycle",2019,"https://doi.org/10.17028/rd.lboro.8059487.v1"
"Water resources","Time series for two rivers",2019,"https://doi.org/10.17028/rd.lboro.8059490.v1"
"Water resources","Annual precipitation in various cities",2019,"https://doi.org/10.17028/rd.lboro.8059475.v1"
"Water resources","Annual variation of rainfall",2019,"https://doi.org/10.17028/rd.lboro.8059478.v1"
"Water resources","Soil structure",2019,"https://doi.org/10.17028/rd.lboro.8059484.v1"
